Complexes(Gene Name)	drug-target-Gene	Percentage(|drug-target-Gene| / |complex|)	
IARS2;PCCB;PCCA;PC;GLS;NARS2;NDUFAF1;ERAL1;YARS2;LARS2;EARS2;GFM1;MIPEP;ACSF2;MMUT;PARS2;TMLHE;GFM2;ACSF3;RARS2;ACAD10;BCKDHA;D2HGDH;ACAA2;AK4;TARS2;IVD;SARDH;DGLUCY;ALDH4A1;DARS2;TBRG4;BCKDK;IDH3G;OGDHL;NSUN4;METTL15;PTCD1;TSFM;PUS1;MTFMT;MTHFD1L;ATPAF1;FECH;MCCC1;TRUB2;MARS2;ABHD11;RPUSD3;MTG2;NDUFA10;MRM2;GUF1;CLPP;HDHD5;AARS2;NDUFAF7;PITRM1;MTO1	1	0.0169491525424	
SDF2L1;SDF2	1	0.5	
GLMN;RBX1	1	0.5	
IARS2;PCCB;PCCA;NDUFAF1;PC;NARS2;ERAL1;YARS2;PARS2;EARS2;LARS2;MIPEP;GFM1;RARS2;ACSF2;MMUT;TMLHE;GFM2;ACSF3;ACAD10;BCKDHA;D2HGDH;MTFMT;ATPAF1;AK4;ACAA2;IVD;BCKDK;OGDHL;IDH3G;TBRG4;SARDH;DARS2;NSUN4;TARS2;DGLUCY;ALDH4A1;PTCD1;TSFM;PUS1;METTL15;MTHFD1L;FECH;TRIT1;ABHD11;ALDH6A1;TRUB2;MCCC1;GLS;MARS2;AARS2;HDHD5;MRM2;ALAS1;MTO1;MTG2;NDUFA10;FARS2;GUF1;RPUSD3;FPGS;FAHD1;CLPP;RSAD1;MRPL58;HARS2;NDUFAF7;PITRM1;DBT	1	0.0144927536232	
ZNF217;RREB1;RCOR3;RCOR1;KDM1A;ZNF516;HDAC2	1	0.142857142857	
TNF;TRADD;RIPK1	1	0.333333333333	
MRPL34;MRPL53;MRPL33;MRPL14;MRPL43;MRPL54;MRPL39;MRPL49;MRPL50;MRPL18;MRPL37;MRPL21;MRPL30;MRPL23;MRPL22;MRPL12;MRPL4;MRPL13;MRPL48;MRPL38;MRPL32;MRPL9;MRPL11;MRPL47;MRPL35;MRPL28;MRPL55;MRPL17;MRPL41;MRPL27;MRPL51;MRPL46;MRPL3;MRPL10;MRPS18A;MRPL15;MRPL52;MRPL24;MRPL45;MRPL20;MRPS30;MRPL42;MRPL2;MRPL58;MRPL16;MRPL57;MRPS14;MRPL19;MRPS33;MRPS25;MRPL1;MRPS17;MRPS21;MRPS18C;MRPS10;MRPS7;MRPS34;MRPS2;MRPS24;MRPS11;MRPS22;MRPS16;MRPS35;MRPL40;MRPS5;MRPS28;MRPS9;MRPL44	3	0.0441176470588	
MRPS34;MRPS2;MRPS6;MRPS17;MRPS22;MRPS28;MRPS14;MRPS10;MRPS21;MRPS18C;MRPS11;MRPS18A;MRPS12;MRPS7;MRPS35;MRPS16;MRPS24;MRPS33;MRPS9;MRPS5;MRPL42;MRPL20;MRPL17;MRPL16;MRPL15;MRPL24;MRPL23;MRPL48;MRPL1;MRPS25;MRPL30;MRPL38;MRPL4;MRPL34;MRPL21;MRPL22;MRPL47;MRPL3;MRPL2;MRPL55;MRPL9;MRPL11;MRPL50;MRPL33;MRPL49;MRPL39;MRPL13;MRPL18;MRPL37;MRPL54;MRPL35;MRPL43;MRPL32;MRPL41;MRPL14;MRPL51;MRPL27;MRPS30;MRPL45;MRPL52;MRPL10;MRPL28;MRPL57;MRPL46;MRPL12;MRPL58;MRPL19;MRPS23;MRPL40;MRPL44	3	0.0428571428571	
DHFR2;NDUFAF2	1	0.5	
HSP90B1;OS9;SEL1L	1	0.333333333333	
NDUFB2;NDUFB10;NDUFA5;NDUFA2;NDUFA6;NDUFA7;NDUFS6;NDUFA8;NDUFS5;NDUFV1;NDUFA1;NDUFB1;NDUFB7;NDUFB6;NDUFV2;NDUFV3;MT-ND2;NDUFB11;NDUFB4;NDUFB9;NDUFS4;NDUFS3;NDUFS1;NDUFS2;NDUFAB1;NDUFA12;NDUFAF2;NDUFA10;NDUFA3;NDUFS8;NDUFS7	2	0.0645161290323	
MRPL14;MRPL39;MRPL53;MRPL34;MRPL43;MRPL33;MRPL54;MRPL49;MRPL50;MRPL18;MRPL37;MRPL21;MRPL30;MRPL23;MRPL22;MRPL12;MRPL4;MRPL13;MRPL48;MRPL38;MRPL32;MRPL9;MRPL11;MRPL47;MRPL35;MRPL28;MRPL55;MRPL17;MRPL41;MRPL27;MRPL51;MRPL46;MRPL3;MRPL10;MRPS18A;MRPL15;MRPL52;MRPL24;MRPL45;MRPL20;MRPS30;MRPL42;MRPL2;MRPL58;MRPL16;MRPL57;MRPS14;MRPL19;MRPS33;MRPS25;MRPL1;MRPS21;MRPS18C;MRPS10;MRPS34;MRPS2;MRPS24;MRPS11;MRPL40;MRPS16;MRPS35;MRPL44;MRPS5	3	0.047619047619	
MMUT;ACSF2;GFM2;EARS2;ACSF3;LARS2;MIPEP;TARS2;ALDH4A1;TRIT1;TMLHE;IVD;BCKDHA;BCKDK;ALDH6A1;D2HGDH;DGLUCY;IDH3G;TRUB2;METTL15;TSFM;FARS2;TBRG4;NSUN4;ACAD10;DARS2;SARDH;PCCA;PTCD1;MRM2;MTHFD1L;PUS1;ALAS1;FAHD1;NDUFA10;PC;NARS2;ATPAF1;YARS2;FECH;ERAL1;FPGS;MRPL58;MTG2;NDUFAF1;ABHD11;GUF1;DBT;HARS2;GLS;HDHD5;MGME1;MTO1;AARS2;GADD45GIP1	1	0.0181818181818	
MRPS28;MRPS6;MRPS2;MRPS17;MRPS22;MRPS34;MRPS14;MRPS12;MRPS10;MRPS21;MRPS18C;MRPS11;MRPS18A;MRPS7;MRPS16;MRPS35;MRPS24;MRPS33;MRPS9;MRPL42;MRPS5;MRPL20;MRPL17;MRPL16;MRPL15;MRPL24;MRPL23;MRPL48;MRPL1;MRPS25;MRPL30;MRPL38;MRPL4;MRPL34;MRPL21;MRPL22;MRPL47;MRPL3;MRPL2;MRPL55;MRPL9;MRPL11;MRPL50;MRPL33;MRPL49;MRPL39;MRPL13;MRPL18;MRPL37;MRPL54;MRPL35;MRPL43;MRPL32;MRPL41;MRPL51;MRPL27;MRPS30;MRPL45;MRPL52;MRPL10;MRPL28;MRPL57;MRPL58;MRPL19;MRPS23;MRPL40	3	0.0454545454545	
MRPS2;MRPS6;MRPS28;MRPS17;MRPS22;MRPS34;MRPS14;MRPS12;MRPS10;MRPS21;MRPS18C;MRPS11;MRPS18A;MRPS7;MRPS16;MRPS35;MRPS24;MRPS33;MRPS9;MRPL42;MRPS5;MRPL20;MRPL17;MRPL16;MRPL15;MRPL24;MRPL23;MRPL48;MRPL1;MRPS25;MRPL30;MRPL38;MRPL4;MRPL34;MRPL21;MRPL22;MRPL47;MRPL3;MRPL2;MRPL55;MRPL9;MRPL11;MRPL50;MRPL49;MRPL13;MRPL39;MRPL18;MRPL35;MRPL37;MRPL54;MRPL43;MRPL32;MRPL41;MRPL51;MRPL14;MRPL27;MRPS30;MRPL45;MRPL52;MRPL10;MRPL28;MRPL57;MRPL46;MRPL58;MRPL19;MRPS23;MRPL40;GTPBP8	3	0.0441176470588	
DCTPP1;NIF3L1	1	0.5	
MT-ND2;NDUFV2;NDUFB7;NDUFB10;NDUFA6;NDUFB2;NDUFA7;NDUFA8;NDUFA5;NDUFA2;NDUFA1;NDUFV1;NDUFS6;NDUFB1;NDUFB6;NDUFB11;NDUFB4;NDUFB9;NDUFV3;NDUFS4;NDUFA11;NDUFS3;NDUFS1;NDUFS2;NDUFAB1;NDUFA12;NDUFAF2;NDUFA10;NDUFA3;NDUFS8;NDUFS7	2	0.0645161290323	
TMEM97;SIDT2	1	0.5	
EIF4E2;EIF4E1B	1	0.5	
MTA3;MBD3;MTA2;HDAC1;MTA1;RBBP7;HDAC2;RBBP4	1	0.125	
EDEM3;EDEM2	1	0.5	
DOCK7;FKBP15;WASHC4;WASHC5	1	0.25	
TMLHE;SARS2;PARS2;NDUFS8;PITRM1;PDPR;GFM1;BCKDHA;LARS2;ACSF2;IARS2;TARS2;ACSF3;PCCB;MCCC2;PCCA;ACAD10;BCKDK;SARDH;DARS2;NSUN4;GFM2;D2HGDH;PUS1;NARS2;EARS2;MARS2;MTHFD1L;NDUFA10;MMUT;MIPEP;IVD;RARS2;FECH;DGLUCY;OGDHL;ACAA2;TBRG4;ALDH4A1;IDH3G;AK4;METTL15;MCCC1;RPUSD3;PTCD1;GLS;TRIT1;TRUB2;PC;TSFM;NDUFAF1;ERAL1;YARS2;MTG2;HDHD5;ATPAF1;MTFMT;ABHD11;ALDH6A1;MTO1;AARS2;MRM2;FARS2;ALAS1;GUF1;RSAD1;NDUFAF7;CLPP;DBT;FAHD1;PRORP;ELAC2;MRPL58;FPGS;HARS2	1	0.0133333333333	
IKBKE;TBK1	1	0.5	
PHF21B;ERLEC1	1	0.5	
NLRP2;TBK1	1	0.5	
FOXRED1;NDUFB9	1	0.5	
CUL4A;RBX1	1	0.5	
CUL2;RBX1;CUL1;SKP2	2	0.5	
RAE1;RGPD8	1	0.5	
NDUFA6;NDUFB6;NDUFS7;NDUFS3;NDUFA1;NDUFS5;NDUFA7;NDUFV1;NDUFA8;NDUFS2;NDUFS1;NDUFV2;NDUFB1;NDUFB10;NDUFB7;NDUFB4;MT-ND2;NDUFB9;NDUFS6;NDUFA2;NDUFA5;NDUFV3;NDUFS4;NDUFB11;NDUFA11;NDUFAB1;NDUFA12;NDUFA10;NDUFA3;NDUFS8	1	0.0333333333333	
