Complexes(Gene Name)	virus-related-Gene	Percentage(|virus-related-Gene| / |complex|)
CERS5;LPCAT4;GPAT3;SOAT1;ALG11;CDS1;ATL2;ATL3;GPAT4;CERS2;RFT1;PIGW;ALG10;ALG8;REEP4;ERMP1;LPCAT3;CERS6;LCLAT1;PIGO;SC5D	4	0.190476190476
SCOC;GCC1	1	0.5
NPC2;GM2A	1	0.5
CLCN7;FAM8A1	1	0.5
TMEM242;TMPPE;ALG6;DPY19L1;TMEM186;TLCD4;LMBRD2;SLC35F5;LPCAT3;MFSD5;MBOAT7	1	0.0909090909091
NDUFS3;NDUFA6;NDUFB6;NDUFA11;NDUFA7;NDUFA1;NDUFB10;NDUFA2;NDUFV1;NDUFA5;NDUFB1;MT-ND2;NDUFB2;NDUFB7;NDUFV2;NDUFA8;NDUFB11;NDUFS6;NDUFB4;NDUFB9;NDUFS5;MT-ND3;NDUFS4;NDUFV3;NDUFS1;NDUFS2;NDUFAB1;NDUFA12;NDUFA10;NDUFA3;NDUFAF2;NDUFS8;NDUFS7	2	0.0606060606061
ELOB;ASB9;ELOC	2	0.666666666667
HDAC2;CCNH;CDK7;MTA1	1	0.25
ASCL4;TCF3;TCF12	1	0.333333333333
MRPS17;MRPS12;MRPS6;MRPS14;MRPS22;MRPS34;MRPS2;MRPS28;MRPS10;MRPS21;MRPS18C;MRPS11;MRPS18A;MRPS7;MRPS16;MRPS35;MRPS24;MRPS33;MRPS9;MRPL42;MRPS5;MRPL20;MRPL17;MRPL16;MRPL15;MRPL24;MRPL23;MRPL48;MRPL1;MRPS25;MRPL30;MRPL38;MRPL4;MRPL34;MRPL21;MRPL22;MRPL47;MRPL3;MRPL2;MRPL55;MRPL9;MRPL11;MRPL50;MRPL49;MRPL13;MRPL39;MRPL18;MRPL35;MRPL37;MRPL54;MRPL43;MRPL32;MRPL41;MRPL51;MRPS30;MRPL27;MRPL45;MRPL52;MRPL10;MRPL28;MRPL57;MRPL46;MRPL12;MRPL58;MRPL19;MRPS23;MRPL40;MRPL44;GTPBP8	3	0.0434782608696
