UniProt1	UniProt2	Weight
Q92769	Q13330	1
P54136	P07814	1
P18859	P00846	1
Q9UKF6	Q10570	1
Q13838	Q15287	1
Q15291	O15550	1
Q12962	Q6P1X5	1
P35268	P61254	1
Q9H160	Q09028	1
P05387	P61353	1
O15047	Q99496	1
Q75QN2	Q96CB8	1
Q8IXM3	P09001	1
P06576	P25705	1
Q8IZL8	P21675	1
O00257	O60315	1
P62854	P32969	1
Q15696	Q6IEG0	1
Q96EK2	Q9P2K3	1
O95983	Q13330	1
Q9P2I0	Q9UKF6	1
Q8WUQ7	Q9Y5B6	1
O43676	O95139	1
Q8TDR0	Q8IY31	1
Q96G25	Q6P2C8	1
Q13243	Q15287	1
Q96CW5	O95613	1
Q9H9J2	Q9BYD6	1
P11940	Q9BRD0	1
Q07955	P62316	1
P78371	P50991	1
Q13507	Q9HCX4	1
P09669	P00403	1
Q9Y4Z0	Q9Y333	1
Q9UBW7	Q9UKL0	1
P03915	P56556	1
Q8TBF4	Q15696	1
Q9UJY1	P11142	1
Q02543	Q9HCE1	1
Q9H0F6	Q9BYM8	1
Q9HD33	Q9BYC8	1
Q9UL33	P48553	1
Q01105	P49711	1
P30049	P00846	1
Q9Y3U8	P18124	1
Q8TBF4	Q9Y3B4	1
P36578	P46781	1
P09012	Q15428	1
P46736	Q06609	1
Q04864	Q8NFZ5	1
Q92766	P56545	1
P18077	P46781	1
P20226	Q6P1X5	1
Q96S59	Q9UIW2	1
O00303	O75822	1
Q01518	P23528	1
Q9BWJ5	P62318	1
Q9H9A5	Q9NZN8	1
Q75QN2	Q8N201	1
Q969U7	O95456	1
Q02543	Q9UPY3	1
O95139	Q9UI09	1
Q9Y265	Q53TQ3	1
Q9UMS4	P62318	1
Q9UKF6	Q92797	1
P14625	Q9UBV2	1
Q9NVH2	Q96HW7	1
P40938	Q8WVB6	1
Q02543	P62888	1
P46783	P62913	1
Q9P086	O95402	1
Q9Y664	Q96MD2	1
Q9HCS7	Q13242	1
Q7Z3B3	Q9UBL3	1
Q16560	Q9BV90	1
Q6P1L8	Q8IXM3	1
P49207	P61353	1
Q92766	O60341	1
P23229	P16144	1
Q9UDW3	P62318	1
P08621	Q9UQ35	1
Q92769	O60341	1
Q13547	Q9BTC8	1
Q9H8T0	Q8N612	1
Q9Y6M9	O96000	1
Q9NX14	Q9Y6M9	1
P46777	P62266	1
Q15628	P01375	1
Q08211	Q00839	1
Q96I25	P09234	1
Q13503	Q96HR3	1
P62753	P30050	1
Q9NX70	Q9ULK4	1
Q9Y6M9	O14561	1
Q02543	P61353	1
Q96GY3	Q5TKA1	1
P25398	P61254	1
O95298	P03915	1
O14929	P49321	1
Q9UBU8	Q9Y265	1
Q09161	O75533	1
P40227	P17987	1
Q9UBU6	Q96DZ1	1
Q15596	Q92793	1
Q15596	O15111	1
P26373	P18124	1
P05496	P56385	1
Q13547	O75362	1
Q9BZK7	Q14839	1
P62701	P61313	1
Q16594	Q15545	1
P19838	Q8NFZ5	1
Q9H3R5	Q9NSP4	1
Q9UH77	Q13618	1
P84098	P62424	1
P40937	Q8WVB6	1
Q9H944	O75586	1
Q13330	O60264	1
P37173	P36897	1
Q9UPY3	Q9Y3U8	1
P50914	P83731	1
Q14160	Q9Y2X7	1
Q9NV88	Q68E01	1
P08865	P05386	1
P09661	P49756	1
A0JLT2	Q96RN5	1
P62995	Q13523	1
Q9H633	Q969H6	1
Q9Y6M9	O95139	1
Q9NYY8	Q7L2E3	1
O43674	O75438	1
P05387	Q9UHA3	1
Q9P2I0	Q10570	1
P61513	P62888	1
P35249	P40938	1
Q15427	P62314	1
Q8NI27	Q13769	1
Q9Y3C7	Q96RN5	1
Q5PSV4	Q9HCU9	1
Q96T58	Q9UQ35	1
P19388	Q9Y265	1
Q9Y2T2	O14617	1
P52815	Q96A35	1
O96019	Q8TAQ2	1
Q03188	Q7L2Z9	1
P62805	O14929	1
Q16576	Q92769	1
P51532	O14497	1
Q96EV8	Q8TDH9	1
Q15019	Q9NVA2	1
Q6PI98	Q9C086	1
P62910	P62424	1
Q9NXF1	Q9H4L4	1
P09001	Q9NRX2	1
P57678	Q9BUN8	1
P18859	P05496	1
Q13573	P83876	1
Q13363	Q92766	1
Q92542	P49768	1
P02675	P02679	1
Q6ZW49	Q86UW6	1
Q75QN2	Q9UL03	1
Q8IXH7	Q8WX92	1
P19404	O43674	1
Q9BYG5	Q8TEW0	1
Q96CB8	Q8N201	1
Q07021	P49736	1
Q01201	Q8NFZ5	1
O43674	P03905	1
P09661	Q15427	1
Q96AX1	Q9P253	1
O75362	Q9H9B1	1
O15511	O15145	1
Q92922	O14497	1
O15042	Q9NYV4	1
P84098	P46778	1
Q15393	P62316	1
O75175	Q92600	1
Q8TAQ2	O14497	1
