Complexes(UniProt IDs)	virus-related-protein	Percentage(|virus-related-protein| / |complex|)
Q10469;O43529;Q8TE99;O60513;Q5VSG8;Q86SF2;O60704;Q8IXK2;P49641;Q8N3Y3;Q9NY97;Q9UBV7;O60512;P52849;Q8IUC8;P52848;Q70JA7;Q6P9A2;Q8NCL4;Q92187;O94923;Q11206;Q9UBX8;Q9P2E5;Q86X52;O60507;P26572;Q9H1C3;Q9Y274;Q7LGC8;Q8NDV1;Q96MM7;Q9NS84;Q9H4F1;Q96EU7;Q8N428;Q86SR1;Q09328	2	0.0526315789474
Q9HD23;Q9BV35;Q9NZJ7;Q9UDX5;Q9H1U9;Q8TBP6;Q9H300	1	0.142857142857
Q92604;Q2TAA5;Q99943;P37268;Q4ZIN3;Q06136;Q8NBM4;Q53EU6;O95674;Q643R3;Q86UL3;Q8N0U8;P38435;Q9BVG9;Q7Z2K6;Q9HD20;Q96N66	3	0.176470588235
P52815;Q9Y291;Q9NX20;Q96A35;Q9NRX2;Q96DV4;P09001;Q9BRJ2;Q9NWU5;Q9BYD3;Q13405;Q9P0M9;Q8N983;Q96GC5;Q9HD33;Q9BYC8;Q9NYK5;Q9Y3B7;Q7Z7F7;Q9BYD2;Q9NVS2;Q8IXM3;Q9P015;Q7Z7H8;Q9BYC9;Q9H2W6;Q9NP92;Q14197;Q9BQC6;P49406;Q9BYD6;P82930;Q9Y3D5;Q9Y399;P82664;Q9NQ50;Q9H9J2;Q96EL2	1	0.0263157894737
O00566;Q9NV31;Q96G21	1	0.333333333333
P56381;P30049;O75947;O75964;P48047;P36542;P24539;P18859;P56385;P00846;P25705;Q9UII2	1	0.0833333333333
P16435;Q96A26	2	1.0
Q9C099;Q86YT6	1	0.5
Q7Z6A9;Q96F46	1	0.5
Q6PML9;P49069	1	0.5
Q6UX04;P62318;Q9HCG8;Q9UQ35	1	0.25
