Complexes(UniProt IDs)	drug-target-protein	Percentage(|drug-target-protein| / |complex|)	
Q9NSE4;P05166;P05165;Q9Y375;P11498;Q96I59;O75616;Q9Y2Z4;Q7L3T8;Q5JPH6;Q15031;Q99797;Q96RP9;Q5T160;Q96CM8;P22033;Q9NVH6;Q969S9;Q4G176;Q6JQN1;P12694;Q8N465;Q96DP5;Q5TC12;P27144;P42765;P26440;O14874;Q9ULD0;P51553;Q969Z0;Q9UL12;Q6PI48;Q96CB9;Q9BW92;Q7Z3D6;P30038;O75127;P43897;Q9Y606;A6NJ78;Q6UB35;P22830;Q9H3H1;Q8NFV4;Q02252;O95900;Q96RQ3;O94925;Q96GW9;Q5JTZ9;Q9BXW7;Q9UI43;P13196;Q9Y2Z2;Q9H4K7;O95299;O95363;Q8N442;Q6P087;Q05932;Q6P587;Q16740;Q9HA92;Q14197;P49590;Q7L592;Q5JRX3;P11182	1	0.0144927536232	
O75362;Q92766;Q9P2K3;Q9UKL0;O60341;Q92618;Q92769	1	0.142857142857	
P01375;Q15628;Q13546	1	0.333333333333	
Q9BQ48;Q96EL3;O75394;Q6P1L8;Q8N983;Q6P161;Q9NYK5;Q13405;Q8N5N7;Q9H0U6;Q9BZE1;Q7Z2W9;Q8TCC3;Q16540;Q9NWU5;P52815;Q9BYD3;Q9BYD1;Q96GC5;Q96DV4;Q9BYC8;Q9BYD2;Q9Y3B7;Q9HD33;Q9NZE8;Q13084;Q7Z7F7;Q9NRX2;Q8IXM3;Q9P0M9;Q4U2R6;Q9H2W6;P09001;Q7Z7H8;Q9NVS2;Q9P015;Q86TS9;Q96A35;Q9BRJ2;Q9BYC9;Q9NP92;Q9Y6G3;Q5T653;Q14197;Q9NX20;Q9BQC6;O60783;P49406;Q9Y291;P82663;Q9BYD6;Q9Y2R5;P82921;Q9Y3D5;P82664;Q9Y2R9;P82930;Q9Y399;Q96EL2;P82912;P82650;Q9Y3D3;P82673;Q9NQ50;P82675;Q9Y2Q9;P82933;Q9H9J2	3	0.0441176470588	
P82930;Q9Y399;P82932;Q9Y2R5;P82650;Q9Y2Q9;O60783;P82664;P82921;Q9Y3D5;P82912;Q9NVS2;O15235;Q9Y2R9;P82673;Q9Y3D3;Q96EL2;Q9Y291;P82933;P82675;Q9Y6G3;Q9BYC9;Q9NRX2;Q9NX20;Q9P015;Q96A35;Q16540;Q96GC5;Q9BYD6;P82663;Q8TCC3;Q96DV4;Q9BYD3;Q9BQ48;Q7Z2W9;Q9NWU5;Q9HD33;P09001;Q5T653;Q7Z7F7;Q9BYD2;Q9Y3B7;Q8N5N7;O75394;Q13405;Q9NYK5;Q9BYD1;Q9H0U6;Q9BZE1;Q6P161;Q9NZE8;Q8N983;Q9BYC8;Q8IXM3;Q6P1L8;Q4U2R6;Q9P0M9;Q9NP92;Q9BRJ2;Q86TS9;Q7Z7H8;Q13084;Q9BQC6;Q9H2W6;P52815;Q14197;P49406;Q9Y3D9;Q9NQ50;Q9H9J2	3	0.0428571428571	
Q86XF0;Q8N183	1	0.5	
P14625;Q13438;Q9UBV2	1	0.333333333333	
O95178;O96000;Q16718;O43678;P56556;O95182;O75380;P51970;O43920;P49821;O15239;O75438;P17568;O95139;P19404;P56181;P03891;Q9NX14;O95168;Q9Y6M9;O43181;O75489;P28331;O75306;O14561;Q9UI09;Q8N183;O95299;O95167;O00217;O75251	2	0.0645161290323	
Q6P1L8;Q9NYK5;Q96EL3;Q9BQ48;Q8N983;O75394;Q6P161;Q13405;Q8N5N7;Q9H0U6;Q9BZE1;Q7Z2W9;Q8TCC3;Q16540;Q9NWU5;P52815;Q9BYD3;Q9BYD1;Q96GC5;Q96DV4;Q9BYC8;Q9BYD2;Q9Y3B7;Q9HD33;Q9NZE8;Q13084;Q7Z7F7;Q9NRX2;Q8IXM3;Q9P0M9;Q4U2R6;Q9H2W6;P09001;Q7Z7H8;Q9NVS2;Q9P015;Q86TS9;Q96A35;Q9BRJ2;Q9BYC9;Q9NP92;Q9Y6G3;Q5T653;Q14197;Q9NX20;Q9BQC6;O60783;P49406;Q9Y291;P82663;Q9BYD6;P82921;Q9Y3D5;P82664;P82930;Q9Y399;Q96EL2;P82912;Q9NQ50;Q9Y3D3;P82673;Q9H9J2;P82675	3	0.047619047619	
P22033;Q96CM8;Q969S9;Q5JPH6;Q4G176;Q15031;Q99797;Q9BW92;P30038;Q9H3H1;Q9NVH6;P26440;P12694;O14874;Q02252;Q8N465;Q7Z3D6;P51553;O95900;A6NJ78;P43897;O95363;Q969Z0;Q96CB9;Q6JQN1;Q6PI48;Q9UL12;P05165;O75127;Q9UI43;Q6UB35;Q9Y606;P13196;Q6P587;O95299;P11498;Q96I59;Q5TC12;Q9Y2Z4;P22830;O75616;Q05932;Q14197;Q9H4K7;Q9Y375;Q8NFV4;Q8N442;P11182;P49590;O94925;Q9BXW7;Q9BQP7;Q9Y2Z2;Q5JTZ9;Q8TAE8	1	0.0181818181818	
Q9Y2Q9;P82932;Q9Y399;Q9Y2R5;P82650;P82930;O60783;O15235;P82664;P82921;Q9Y3D5;P82912;Q9NVS2;Q9Y2R9;Q9Y3D3;P82673;Q96EL2;Q9Y291;P82933;Q9Y6G3;P82675;Q9BYC9;Q9NRX2;Q9NX20;Q9P015;Q96A35;Q16540;Q96GC5;Q9BYD6;P82663;Q8TCC3;Q96DV4;Q9BYD3;Q9BQ48;Q7Z2W9;Q9NWU5;Q9HD33;P09001;Q5T653;Q7Z7F7;Q9BYD2;Q9Y3B7;Q8N5N7;O75394;Q13405;Q9NYK5;Q9BYD1;Q9H0U6;Q9BZE1;Q6P161;Q9NZE8;Q8N983;Q9BYC8;Q8IXM3;Q4U2R6;Q9P0M9;Q9NP92;Q9BRJ2;Q86TS9;Q7Z7H8;Q13084;Q9BQC6;Q14197;P49406;Q9Y3D9;Q9NQ50	3	0.0454545454545	
Q9Y399;P82932;Q9Y2Q9;Q9Y2R5;P82650;P82930;O60783;O15235;P82664;P82921;Q9Y3D5;P82912;Q9NVS2;Q9Y2R9;Q9Y3D3;P82673;Q96EL2;Q9Y291;P82933;Q9Y6G3;P82675;Q9BYC9;Q9NRX2;Q9NX20;Q9P015;Q96A35;Q16540;Q96GC5;Q9BYD6;P82663;Q8TCC3;Q96DV4;Q9BYD3;Q9BQ48;Q7Z2W9;Q9NWU5;Q9HD33;P09001;Q5T653;Q7Z7F7;Q9BYD2;Q9Y3B7;Q8N5N7;Q13405;Q9BYD1;Q9NYK5;Q9H0U6;Q9NZE8;Q9BZE1;Q6P161;Q8N983;Q9BYC8;Q8IXM3;Q4U2R6;Q6P1L8;Q9P0M9;Q9NP92;Q9BRJ2;Q86TS9;Q7Z7H8;Q13084;Q9BQC6;Q9H2W6;Q14197;P49406;Q9Y3D9;Q9NQ50;Q8N3Z3	3	0.0441176470588	
Q9H773;Q9GZT8	1	0.5	
P03891;P19404;P17568;O96000;P56556;O95178;O95182;P51970;Q16718;O43678;O15239;P49821;O75380;O75438;O95139;Q9NX14;O95168;Q9Y6M9;P56181;O43181;Q86Y39;O75489;P28331;O75306;O14561;Q9UI09;Q8N183;O95299;O95167;O00217;O75251	2	0.0645161290323	
Q5BJF2;Q8NBJ9	1	0.5	
O60573;A6NMX2	1	0.5	
Q9BTC8;O95983;O94776;Q13547;Q13330;Q16576;Q92769;Q09028	1	0.125	
Q9BZQ6;Q9BV94	1	0.5	
Q96N67;Q5T1M5;Q2M389;Q12768	1	0.25	
